instance_id;value;time
Urn_10;0.242906746;1.538012981
Urn_11;0.142857143;0.703686714
Urn_12;0.25812252;1.663169861
Urn_13;0.734008766;6.638143539
Urn_14;0.319797867;1.750926733
Urn_15;0.341344246;1.727950573
Urn_16;0.024553571;0.892730951
Urn_17;0.118799603;1.328257561
Urn_18;0.651457858;4.798196554
Urn_19;0.618843143;5.443428755
Urn_20;0.130146329;1.365833759
Urn_21;0.080171131;0.878266096
Urn_22;0.448933532;1.924916983
Urn_23;0.022321429;0.873139381
Urn_24;0.181919643;0.843951225
Urn_25;0.657223114;4.112213135
Urn_26;1.047532772;15.94429755
Urn_27;0.862276673;6.431851625
Urn_28;0.155226935;1.278251171
Urn_29;0.763101894;6.348597288
Urn_30;0.232142857;0.683653831
Urn_31;0.522888913;2.541944265
Urn_32;0.131696429;1.313017368
Urn_33;0.29312996;1.890833139
Urn_34;0.404225128;3.083917141
Urn_35;0.434976881;4.781045914
Urn_36;0.610826907;6.887381554
Urn_37;0.463684276;2.223123312
Urn_38;0.291294643;1.158860683
Urn_39;0;0.526832104
Urn_40;0.434009177;1.932273626
Urn_41;0.519711947;2.967589855
Urn_42;1.123168339;22.58559752
Urn_43;0.104042659;1.093645096
Urn_44;0.461367985;2.559940338
Urn_45;0.482564484;2.951167583
Urn_46;0.451832526;3.150351763
Urn_47;0.672372188;4.740695
Mallows_0;1.101433594;34.33772445
Mallows_1;0.783438774;32.68681455
Mallows_2;0.101020993;11.39145207
Mallows_3;0.727138925;45.9195416
Mallows_4;0.825597074;34.75595307
Mallows_5;0.055406623;4.987099171
Mallows_6;0.133636477;10.95166874
Mallows_7;0.745801191;26.93890023
Mallows_8;1.232962576;28.52617216
Mallows_9;1.174250031;26.73612905
Mallows_10;0.708453314;25.99755788
Mallows_11;0.298957865;19.60002756
Mallows_12;1.188230227;27.81494164
Mallows_13;0.734268294;25.53853965
Mallows_14;0.35991509;19.71172857
Mallows_15;0.874054066;26.46360135
Mallows_16;1.232182442;29.74899244
Mallows_17;0.105253615;9.530379295
Mallows_18;0.53331425;24.12768078
Mallows_19;0.396135776;23.47870874
Mallows_20;1.11635926;25.84555435
Mallows_21;0.304050972;19.475456
Mallows_22;0.744468167;26.43686247
Mallows_23;0.880224746;25.94929242
Mallows_24;0.455615708;25.22498965
Mallows_25;0.08201781;6.963833094
Mallows_26;1.157776876;25.95640635
Mallows_27;0.212372345;14.25611734
Mallows_28;0.157964372;12.32978415
Mallows_29;1.210448248;25.46848035
Mallows_30;1.2487695;27.58720112
Mallows_31;0.65221168;27.01365638
Mallows_32;0.044954712;4.022107124
Mallows_33;1.265387297;25.5654304
Mallows_34;0.795808097;26.54250002
Mallows_35;1.174350019;27.64381504
Mallows_36;1.03652148;27.52916813
Mallows_37;0.127488594;10.77554917
Mallows_38;0.81743093;25.63457751
Mallows_39;0.935051684;26.08898687
Mallows_40;0.193193739;15.06747174
Mallows_41;1.095379398;28.68429756
Mallows_42;0.027868596;3.109373331
Mallows_43;1.087309112;29.07757878
Mallows_44;1.17810755;27.81125259
Mallows_45;0.21175324;16.1343205
Mallows_46;0.775989531;28.52587557
Mallows_47;0.043483004;4.070181608
UN_0;1.282441201;28.2671206
UN_1;1.283101621;28.1949141
UN_2;1.30586728;27.05427194
UN_3;1.307112342;29.1454823
ID;0;0.473635674
AN;0.5;0.688374996
