instance_id_1;instance_id_2;distance;time
Impartial Culture_0;GS Balanced_7;687.0;23.56159996986389
Impartial Culture_0;GS Balanced_8;683.0;21.037558555603027
Impartial Culture_0;GS Balanced_9;687.0;20.60533380508423
Impartial Culture_0;GS Balanced_10;687.0;35.67220997810364
Impartial Culture_0;GS Balanced_11;692.0;29.52383065223694
Impartial Culture_0;GS Balanced_12;681.0;20.755085468292236
Impartial Culture_0;GS Balanced_13;690.0;21.90788507461548
Impartial Culture_0;GS Balanced_14;687.0;19.481335878372192
Impartial Culture_0;GS Balanced_15;682.0;19.575993537902832
Impartial Culture_0;GS Caterpillar_0;533.0;24.099157094955444
Impartial Culture_0;GS Caterpillar_1;535.0;18.167210817337036
Impartial Culture_0;GS Caterpillar_2;539.0;18.889825344085693
Impartial Culture_0;GS Caterpillar_3;562.0;18.91923451423645
Impartial Culture_0;GS Caterpillar_4;526.0;22.512627363204956
Impartial Culture_0;GS Caterpillar_5;531.0;19.20329713821411
Impartial Culture_0;GS Caterpillar_6;529.0;18.123461723327637
Impartial Culture_0;GS Caterpillar_7;526.0;17.812108278274536
Impartial Culture_0;GS Caterpillar_8;539.0;20.507120370864868
Impartial Culture_0;GS Caterpillar_9;527.0;33.30174255371094
Impartial Culture_0;GS Caterpillar_10;535.0;32.49365592002869
Impartial Culture_0;GS Caterpillar_11;531.0;26.110723972320557
Impartial Culture_0;GS Caterpillar_12;523.0;20.52659773826599
Impartial Culture_0;GS Caterpillar_13;540.0;20.448183298110962
Impartial Culture_0;GS Caterpillar_14;533.0;21.861711263656616
Impartial Culture_0;GS Caterpillar_15;533.0;18.17637062072754
Impartial Culture_0;Interval_0;790.0;19.998878240585327
Impartial Culture_0;Interval_1;809.0;20.036431074142456
Impartial Culture_0;Interval_2;807.0;19.894843101501465
Impartial Culture_0;Interval_3;795.0;18.704933404922485
Impartial Culture_0;Interval_4;785.0;20.642431259155273
Impartial Culture_0;Interval_5;809.0;19.202120542526245
Impartial Culture_0;Interval_6;845.0;22.406625032424927
Impartial Culture_0;Interval_7;785.0;20.742555141448975
Impartial Culture_0;Interval_8;803.0;19.522512674331665
Impartial Culture_0;Interval_9;836.0;20.18796396255493
Impartial Culture_0;Interval_10;793.0;18.806710481643677
Impartial Culture_0;Interval_11;824.0;18.279582738876343
Impartial Culture_0;Interval_12;806.0;18.34260106086731
Impartial Culture_0;Interval_13;797.0;20.231778383255005
Impartial Culture_0;Interval_14;800.0;21.41911506652832
Impartial Culture_0;Interval_15;800.0;19.133811712265015
Impartial Culture_0;Square_0;647.0;19.946083307266235
Impartial Culture_0;Square_1;677.0;36.85917806625366
Impartial Culture_0;Square_2;668.0;36.15497899055481
Impartial Culture_0;Square_3;683.0;36.903645277023315
Impartial Culture_0;Square_4;670.0;36.94526481628418
Impartial Culture_0;Square_5;667.0;36.84857201576233
Impartial Culture_0;Square_6;682.0;36.993144273757935
Impartial Culture_0;Square_7;672.0;37.6941339969635
Impartial Culture_0;Square_8;677.0;36.95397639274597
Impartial Culture_0;Square_9;672.0;36.288575410842896
Impartial Culture_0;Square_10;710.0;38.394198179244995
Impartial Culture_0;Square_11;679.0;36.42496705055237
Impartial Culture_0;Square_12;691.0;35.75497913360596
Impartial Culture_0;Square_13;671.0;20.61525535583496
Impartial Culture_0;Square_14;680.0;19.75025486946106
Impartial Culture_0;Square_15;680.0;19.965362310409546
Impartial Culture_0;Cube_0;625.0;20.307072162628174
Impartial Culture_0;Cube_1;618.0;19.129996061325073
Impartial Culture_0;Cube_2;594.0;19.20520830154419
Impartial Culture_0;Cube_3;604.0;19.820507526397705
Impartial Culture_0;Cube_4;599.0;20.576251745224
Impartial Culture_0;Cube_5;603.0;20.556061267852783
Impartial Culture_0;Cube_6;673.0;20.04285955429077
Impartial Culture_0;Cube_7;611.0;19.99199080467224
Impartial Culture_0;Cube_8;638.0;21.7285099029541
Impartial Culture_0;Cube_9;663.0;25.45975947380066
Impartial Culture_0;Cube_10;638.0;20.869077444076538
Impartial Culture_0;Cube_11;606.0;20.28146243095398
Impartial Culture_0;Cube_12;635.0;21.4622642993927
Impartial Culture_0;Cube_13;613.0;22.07723069190979
Impartial Culture_0;Cube_14;678.0;23.852588653564453
Impartial Culture_0;Cube_15;601.0;20.09329867362976
Impartial Culture_0;5-Cube_0;518.0;21.84868359565735
Impartial Culture_0;5-Cube_1;583.0;19.5659441947937
Impartial Culture_0;5-Cube_2;571.0;20.749053955078125
Impartial Culture_0;5-Cube_3;523.0;24.02801537513733
Impartial Culture_0;5-Cube_4;535.0;18.866124391555786
Impartial Culture_0;5-Cube_5;576.0;18.989338636398315
Impartial Culture_0;5-Cube_6;515.0;17.561954259872437
Impartial Culture_0;5-Cube_7;601.0;19.59138298034668
Impartial Culture_0;10-Cube_0;593.0;19.884408712387085
Impartial Culture_0;10-Cube_1;516.0;21.569364547729492
Impartial Culture_0;10-Cube_2;478.0;16.690319538116455
Impartial Culture_0;10-Cube_3;478.0;17.360855102539062
Impartial Culture_0;10-Cube_4;498.0;18.726348638534546
Impartial Culture_0;10-Cube_5;554.0;22.57872176170349
Impartial Culture_0;10-Cube_6;586.0;20.863131999969482
Impartial Culture_0;10-Cube_7;489.0;24.4626305103302
Impartial Culture_0;Circle_0;702.0;19.28719925880432
Impartial Culture_0;Circle_1;704.0;22.5810227394104
Impartial Culture_0;Circle_2;701.0;19.65233874320984
Impartial Culture_0;Circle_3;715.0;21.300185203552246
Impartial Culture_0;Circle_4;702.0;29.988414525985718
Impartial Culture_0;Circle_5;706.0;36.69145584106445
Impartial Culture_0;Circle_6;693.0;37.72771215438843
Impartial Culture_0;Circle_7;707.0;37.61654353141785
